ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
3064,PHP,PHP,freshgraduate,Bachelor,12,15,15-50人,Beijing,startup (no financing need),零用钱,9660000
3065,PHP,PHP,1-3year,junior college,6,8,15-50人,Hangzhou,developing (A round),零极科技,3100000
3066,PHP,PHP,5-10year,Bachelor,15,25,500-2000人,Beijing,developing (B round),零度智控,110000
3067,PHP,php,1-3year,junior college,4,8,少于15人,Wuhan,startup (no financing need),凌天科技,1090000
3068,PHP,PHP,1-3year,Bachelor,5,8,15-50人,Chengdu,startup (no financing need),琳琅天下,464000
3069,PHP,PHP,3-5year,Bachelor,12,18,50-150人,Beijing,developing (B round),量子云,103000
3070,PHP,PHP,1-3year,Unlimited,8,15,少于15人,Shanghai,startup (no financing),量子信息科技,3240000
3071,PHP,PHP,1-3year,Bachelor,8,15,50-150人,Guangzhou,developing (A round),亮风台,226000
3072,PHP,PHP,1-3year,Bachelor,15,30,500-2000人,Beijing,startup (no financing),链家网,6710000
3073,PHP,PHP,1-3year,Bachelor,15,30,500-2000人,Beijing,startup (no financing),链家网,6710000
3074,PHP,PHP,1-3year,Bachelor,10,15,150-500人,Hangzhou,startup (no financing),脸谱中国,2530000
3075,PHP,PHP,3-5year,Bachelor,10,16,50-150人,Changsha,listed company,联盛网络,2000000
3076,PHP,PHP,3-5year,Bachelor,8,12,少于15人,Chengdu,startup (no financing),联合德华信息技术,62
3077,PHP,PHP,unlimited,Unlimited,6,10,少于15人,Chengdu,startup (no financing),联合德华信息技术,62
3078,PHP,PHP,3-5year,Bachelor,6,12,少于15人,Chengdu,startup (no financing),联合德华信息技术,62
3079,PHP,PHP,1-3year,junior college,5,10,15-50人,Guangzhou,developing (A round),连奖网络,232000
3080,PHP,PHP,1-3year,Bachelor,10,20,50-150人,Shanghai,startup (angel round),雷励金融,65000
3081,PHP,PHP,3-5year,junior college,9,18,50-150人,Guangzhou,developing (no financing need),雷猴软件开发有限公司,78
3082,PHP,PHP,1-3year,Bachelor,8,15,50-150人,Nanjing,developing (A round),乐致安,7720
3083,PHP,PHP,5-10year,junior college,25,40,15-50人,Shanghai,startup (no financing need),乐至科技,2190000
3084,PHP,PHP,5-10year,Unlimited,25,40,15-50人,Shanghai,startup (no financing need),乐至科技,2190000
3085,PHP,PHP,5-10year,junior college,20,35,15-50人,Shanghai,startup (no financing need),乐至科技,2190000
3086,PHP,PHP,5-10year,junior college,20,35,15-50人,Shanghai,startup (no financing need),乐至科技,2190000
3087,PHP,PHP,5-10year,Unlimited,20,35,15-50人,Shanghai,startup (no financing need),乐至科技,2190000
3088,PHP,PHP,1-3year,junior college,8,16,少于15人,Shenzhen,startup (no financing),乐兮子科技,11
3089,PHP,PHP,1-3year,Bachelor,8,15,50-150人,Chengdu,startup (angel round),乐望教育,19600
3090,PHP,PHP,3-5year,Bachelor,15,25,少于15人,Beijing,startup (angel round),乐鼠科技,55400
3091,PHP,PHP,3-5year,Bachelor,18,28,500-2000人,Hangzhou,mature (D round or over),乐其网络,1840000
3092,PHP,PHP,1-3year,junior college,9,18,50-150人,Hangzhou,developing (no financing need),乐木几,26100
3093,PHP,PHP,unlimited,Unlimited,4,6,50-150人,Nanjing,developing (no financing need),乐伽公寓,52500
3094,PHP,PHP,3-5year,Unlimited,10,15,50-150人,Shenzhen,startup (no financing),乐活农业信息化技术有限公司,8820
3095,PHP,PHP,3-5year,Bachelor,15,30,500-2000人,Shenzhen,listed company,乐逗游戏,1220000
3096,PHP,PHP,1-3year,Unlimited,6,12,15-50人,Hangzhou,developing (A round),乐电网,1390000
3097,PHP,PHP,1-3year,Bachelor,10,20,少于15人,Hangzhou,startup (no financing),乐筹,21500
3098,PHP,PHP,1-3year,junior college,6,12,15-50人,Guangzhou,startup (no financing need),老友卡,35700
3099,PHP,PHP,1-3year,junior college,10,15,50-150人,Hangzhou,developing (A round),浪尖股份,2070000
3100,PHP,PHP,5-10year,Bachelor,10,20,50-150人,Suzhou,developing (A round),朗动网络科技,101000
3101,PHP,PHP,unlimited,Bachelor,10,15,150-500人,Chengdu,developing (no financing need),朗动科技,2170000
3102,PHP,PHP,1-3year,Bachelor,10,15,50-150人,Shanghai,startup (no financing),蓝页传媒,25000
3103,PHP,PHP,3-5year,junior college,10,20,50-150人,Hangzhou,developing (A round),蓝铅笔,338000
3104,PHP,PHP,3-5year,junior college,12,24,150-500人,Shanghai,developing (no financing need),蓝鸥科技,468000
